1229	in	6	1	
641	in	2		
867	in	4	2	115
1091	in	10	144	144
657	in	10	176	176
1371	in	6	112	112
628	in	4	215	215
461	in	5	232	232
1193	in	4		
55	in	3	104	104
1384	in	4		
160	in	3		116
508	in	9	117	3
377	in	11	118	4
1117	in	11	119	5
662	in	2	41	41
298	in	2	90	90
1037	in	3	120	
1330	in	3		121
893	in	7	266	266
362	in	4		
842	in	15	195	195
981	in	3	298	298
1160	in	2		
680	in	3	180	180
1338	in	4	101	101
1167	in	3	213	213
1287	in	6	236	236
247	in	6	122	6
1124	in	2		
79	in	9		123
226	in	12	124	
1209	in	5	27	27
694	in	4		
99	in	20		7
883	in	9	125	
872	in	2		
1315	in	3	60	60
1249	in	3		
645	in	11	119	119
1364	in	11		8
1223	in	9	266	266
1040	in	17	261	261
380	in	9	126	9
998	in	3		
745	in	8	240	240
10042701	in	2		
1372	in	11	10	
1259	in	5	164	164
1097	in	9	144	144
278	in	7	176	176
1367	in	2	30	30
465	in	6	169	169
943	in	4		127
1375	in	2		
1297	in	5	14	14
115	in	10		128
1382	in	9	182	182
1366	in	8	249	249
69	in	9		129
1414	in	2		
479	in	4	115	115
395	in	9	130	11
98	in	7	258	258
1339	in	5	64	64
307	in	17	225	225
188	in	13	131	12
321	in	9	192	192
941	in	7	122	122
254	in	11	209	209
10109501	in	2	132	
1222	in	6	44	44
732	in	4	206	206
708	in	4	133	
10020101	in	7		134
326	in	7	181	181
286	in	8		
499	in	13	135	
804	in	5	13	136
352	in	6	176	176
346	in	10	137	
15	in	11	162	162
1064	in	12	258	258
128	in	9	179	179
797	in	3	90	90
1125	in	8	280	280
690	in	10	128	14
1049	in	7	229	229
655	in	10	123	123
1318	in	5	97	97
255	in	10		
1383	in	7	15	15
192	in	3		138
777	in	7	304	304
276	in	9	299	299
1068	in	6	176	176
703	in	2		
691	in	12		139
852	in	4	289	289
1413	in	3	43	43
1301	in	3	50	50
1011	in	4	205	205
1202	in	2		
882	in	2	91	91
1290	in	2		
327	in	9	70	70
1232	in	7	140	
1263	in	2		
1157	in	3	237	237
918	in	2		
1252	in	11	239	239
1073	in	3		
1377	in	12	139	139
283	in	9	243	243
475	in	12	15	16
783	in	3	246	246
1254	in	11	17	123
422	in	10	179	179
1047	in	10	280	280
447	in	6		141
355	in	5	18	142
249	in	2		
741	in	18		
1029	in	2		
1156	in	14	143	19
215	in	9	181	181
643	in	13	225	225
1213	in	7	295	295
1271	in	5	113	113
85	in	7	232	232
81	in	9		144
1210	in	2	145	
621	in	7	264	264
870	in	2	146	
948	in	4	3	3
19	in	7		147
292	in	5	302	302
1405	in	10	35	35
49	in	9		148
10042708	in	2		149
448	in	4		150
1346	in	2	103	103
202	in	8	176	176
484	in	3		
959	in	5	151	
127	in	7	9	9
829	in	4	18	152
141	in	11	148	148
1152	in	5	159	159
1264	in	9	266	266
991	in	5	68	68
310	in	9	20	153
1045	in	3	154	
189	in	12	285	285
808	in	9	285	285
1281	in	4	155	
762	in	8	130	130
1012	in	2		6
818	in	3	52	52
965	in	2	92	92
336	in	10	191	191
10061101	in	2		
892	in	5	21	156
932	in	6	249	249
819	in	9	191	191
304	in	14	22	23
359	in	14		
78	in	8		157
213	in	2	180	180
833	in	8	280	280
82	in	8	24	158
408	in	6	289	289
605	in	8	25	159
93	in	12	266	266
1303	in	6	293	293
291	in	6	26	160
537	in	8	249	249
358	in	3	245	245
995	in	5	314	314
394	in	7	285	285
969	in	6	285	285
56	in	7		27
1215	in	3		28
594	in	8		161
1415	in	6	1	1
224	in	10	261	261
185	in	7		
436	in	2	80	80
1360	in	6	162	29
1340	in	2		
10067902	in	2	92	92
994	in	3		
142	in	10	270	270
129	in	7	30	153
10086602	in	12		
1181	in	8	280	280
646	in	9	151	151
111	in	7	79	79
684	in	5	266	266
664	in	7		
791	in	6	258	258
630	in	11	270	270
1179	in	2	157	157
764	in	6	44	44
1147	in	5	152	152
1245	in	3		163
214	in	4	14	14
261	in	3	246	246
293	in	7	29	164
374	in	6	225	225
820	in	3	14	14
486	in	8	295	295
647	in	2		146
738	in	7	165	31
167	in	7	171	171
909	in	3		166
908	in	2	75	75
496	in	4	100	100
933	in	3	156	156
993	in	2		167
84	in	12		168
731	in	6	272	272
1345	in	3	32	169
397	in	7	305	305
1183	in	2	29	29
46	in	7		170
294	in	8	171	33
1203	in	6	112	112
42	in	5	91	91
1236	in	11	124	124
1003	in	3	158	158
17	in	9	172	
21	in	8	12	
1015	in	10	234	234
506	in	2	75	75
977	in	3	169	169
1163	in	5	108	108
32	in	8	272	272
504	in	8	267	267
442	in	9	173	
387	in	23	183	183
656	in	10	159	159
1070	in	4	246	246
673	in	5	159	159
748	in	9	34	168
875	in	10	130	130
1059	in	14	35	143
488	in	6	215	215
44	in	4	48	48
248	in	3	91	91
1312	in	2		
186	in	10	174	
1075	in	8	196	196
851	in	4	104	104
1154	in	2		
354	in	7	164	164
723	in	7	229	229
1266	in	2		
104	in	9	159	159
200	in	16	261	261
1299	in	11	213	213
443	in	7	36	37
859	in	2	40	40
613	in	6	175	27
1389	in	6	20	20
333	in	9	229	229
329	in	9	285	285
1005	in	11	191	191
10000602	in	7		
381	in	7	229	229
330	in	16	96	96
757	in	4	222	222
898	in	3	13	13
515	in	2	225	225
832	in	11	182	182
10042707	in	2		
728	in	5	215	215
1225	in	2		
388	in	7	11	176
1314	in	9	288	288
1355	in	6	177	
946	in	5	38	178
1025	in	4	200	200
1164	in	10	179	39
837	in	5	222	222
3	in	4	63	63
439	in	10	229	229
1208	in	9	192	192
1358	in	2	180	
243	in	4	156	156
0	in	9		
468	in	6	225	225
244	in	2	40	40
1098	in	3	205	205
1113	in	2	163	163
325	in	2	67	67
429	in	10	182	182
1054	in	10	40	181
208	in	4	41	
747	in	8	185	185
884	in	2	80	80
196	in	7	130	130
1288	in	9	182	
906	in	8	42	43
1048	in	9	233	233
1343	in	8	192	192
373	in	8	280	280
252	in	6	263	263
809	in	16		183
1050	in	12	234	234
816	in	9	243	243
1379	in	5	46	46
863	in	9		174
102	in	14	266	266
593	in	6	141	
365	in	6	225	225
626	in	10	198	198
76	in	12		184
712	in	2		
485	in	10		185
221	in	3		
550	in	5	232	232
1112	in	5	223	223
665	in	9	70	70
1017	in	5	71	71
1004	in	3		
963	in	11	34	34
547	in	8	186	
1148	in	5	217	217
403	in	8	187	44
576	in	9	115	115
457	in	11	213	213
528	in	10	213	213
743	in	9	159	
854	in	2		188
446	in	7	190	190
